Attribute,Default_Value,Type,List?,Description
Date,Today(),Date,No (Maybe Date input),"Date of creation of App down to millisecond."
Posted,Today(),Date,No (Maybe Date input),"Date the App was posted on relevant medium.."
Updated,Today(),Date,No (Maybe Date input),"Last Date App entity was modified. Might be an array of values.."
Status,Applied,String,Yes,"The status of the Application. Used in sorting and other logic.."
Title,,String,No,"Name of Role in question."
Company,,String,No,"Name of Company being applied to."
Office,In-person,String,Yes,"Is this role in-person or some variant of remote."
Location,,?,No,"Where is this role. Be as specific as desired, though the Distance Formulae won't like broad answers."
Given,No,Boolean,Yes,"Is there a listed wage range. If so, use it, if not, source of wage is GlassDoor or similar source.."
Salaried,No,Boolean,Yes,"Is the work based on a set pay, True, or varies based on shifts served, False.."
Low,,Double,No,"Low end of wage range."
High,,Double,No,"High end of wage range."
Likely,5,Unsigned Integer,~Yes (Range),"A value from 0 to 10 about how likely this role is attainable.."
Wanted,5,Unsigned Integer,~Yes (Range),"A value from 0 to 10 about how likely this role is wanted.."
Source,,String,Yes,"What platform did the role make itself known to the user."
Link,,String,No,"Assuming all applications are done online (they are), then here is the hyperlink for the role. This will most likely contain many dead links as roles are removed and closed with the passage of time."
